ID	Model_type	Model_number	Prediction_number	pdockq	ppv	pdockq2	pae	plddt	ptm	iptm	ranking_confidence	correct_result
6z01	unrelaxed_multimer_v3	1	5	0.3663049653487735	0.85453785	[0.00928621250528202, 0.009304754472919109]	[0.104536675, 0.104637876]	[77.72439393939396, 78.20560606060606]	0.5198039407750445	0.1411948	0.2169166325573221	1
6z01	unrelaxed_multimer_v3	2	1	0.7051714759172882	0.98128027	[0.009500843282653442, 0.009509679132655546]	[0.10113497, 0.10135754]	[86.85455399061033, 86.92478873239436]	0.5205364447031852	0.13442579	0.2116479202348875	1
6z01	unrelaxed_multimer_v3	2	2	0.6819693334493723	0.98128027	[0.009494756316831169, 0.009506600100756893]	[0.10486736, 0.10507908]	[83.5892222222222, 83.75855555555555]	0.5154378585649291	0.13297448	0.2094671522107275	1
6z01	unrelaxed_multimer_v3	2	3	0.6638501558147304	0.98128027	[0.009526894755915085, 0.009539111400225066]	[0.101679094, 0.1018865]	[87.15527397260276, 87.33458904109588]	0.5199367813026623	0.13489598	0.2119041405470315	1
6z01	unrelaxed_multimer_v3	2	4	0.7266925506661559	0.98128027	[0.009555761164256077, 0.009557933055145976]	[0.1038292, 0.10370426]	[86.17609195402298, 86.34189655172413]	0.5189601117645065	0.13512585	0.2118926988894613	1
6z01	unrelaxed_multimer_v3	2	5	0.7310962321826521	0.98128027	[0.009527920790674004, 0.009558913619787123]	[0.10160192, 0.10184713]	[87.25155606407321, 87.94478260869565]	0.5211104481659026	0.13444291	0.2117764180748004	1
6z01	unrelaxed_multimer_v3	3	1	0.6523405779469814	0.96322524	[0.009401501311816494, 0.009423048141632855]	[0.10241438, 0.10259817]	[82.83039473684211, 83.32394736842105]	0.4961978964986823	0.12971103	0.2030084048307423	1
6z01	unrelaxed_multimer_v3	3	2	0.6506162958309272	0.96322524	[0.009600922083295675, 0.009598670325957154]	[0.11019918, 0.11056677]	[82.4019306930693, 82.06826732673268]	0.4997751221484373	0.16343088	0.2306997320140685	1
6z01	unrelaxed_multimer_v3	3	3	0.6644318042889779	0.98128027	[0.009538498952398364, 0.009537906412451627]	[0.113177285, 0.11325823]	[78.60584507042255, 78.53411971830987]	0.505126660764508	0.16024432	0.2292207848430261	1
6z01	unrelaxed_multimer_v3	3	4	0.6802695908748192	0.98128027	[0.009545298349007594, 0.009532180853390502]	[0.10980755, 0.10991349]	[81.20193675889328, 80.7690513833992]	0.4849188652929683	0.16212362	0.2266826694666747	1
